symbol,date,close
XMR,2017-10-11,87.42
XMR,2017-10-10,86.82
XMR,2017-10-09,85.49
XMR,2017-10-08,89.77
XMR,2017-10-07,91.70
XMR,2017-10-06,91.19
XMR,2017-10-05,91.86
XMR,2017-10-04,90.41
XMR,2017-10-03,92.96
XMR,2017-10-02,91.54
XMR,2017-10-01,93.22
XMR,2017-09-30,95.76
XMR,2017-09-29,94.50
XMR,2017-09-28,97.23
XMR,2017-09-27,101.04
XMR,2017-09-26,93.13
XMR,2017-09-25,93.64
XMR,2017-09-24,89.50
XMR,2017-09-23,91.85
XMR,2017-09-22,88.17
XMR,2017-09-21,86.24
XMR,2017-09-20,95.57
XMR,2017-09-19,97.72
XMR,2017-09-18,100.57
XMR,2017-09-17,93.74
XMR,2017-09-16,95.29
XMR,2017-09-15,99.85
XMR,2017-09-14,83.04
XMR,2017-09-13,111.33
XMR,2017-09-12,111.89
XMR,2017-09-11,112.75
XMR,2017-09-10,112.33
XMR,2017-09-09,116.27
XMR,2017-09-08,118.04
XMR,2017-09-07,120.84
XMR,2017-09-06,121.63
XMR,2017-09-05,118.82
XMR,2017-09-04,106.17
XMR,2017-09-03,126.01
XMR,2017-09-02,124.80
XMR,2017-09-01,141.20
XMR,2017-08-31,140.41
XMR,2017-08-30,132.38
XMR,2017-08-29,133.03
XMR,2017-08-28,145.40
XMR,2017-08-27,130.68
XMR,2017-08-26,138.05
XMR,2017-08-25,108.26
XMR,2017-08-24,86.29
XMR,2017-08-23,90.33
XMR,2017-08-22,91.16
XMR,2017-08-21,77.82
XMR,2017-08-20,54.71
XMR,2017-08-19,55.96
XMR,2017-08-18,46.69
XMR,2017-08-17,47.45
XMR,2017-08-16,48.78
XMR,2017-08-15,48.74
XMR,2017-08-14,49.75
XMR,2017-08-13,47.76
XMR,2017-08-12,49.37
XMR,2017-08-11,50.65
XMR,2017-08-10,49.47
XMR,2017-08-09,50.96
XMR,2017-08-08,51.94
XMR,2017-08-07,50.21
XMR,2017-08-06,47.83
XMR,2017-08-05,48.58
XMR,2017-08-04,45.12
XMR,2017-08-03,43.36
XMR,2017-08-02,43.63
XMR,2017-08-01,44.15
XMR,2017-07-31,39.84
XMR,2017-07-30,39.62
XMR,2017-07-29,43.89
XMR,2017-07-28,43.96
XMR,2017-07-27,45.24
XMR,2017-07-26,45.80
XMR,2017-07-25,40.68
XMR,2017-07-24,45.58
XMR,2017-07-23,42.67
XMR,2017-07-22,44.71
XMR,2017-07-21,40.34
XMR,2017-07-20,40.30
XMR,2017-07-19,35.06
XMR,2017-07-18,36.38
XMR,2017-07-17,34.83
XMR,2017-07-16,29.43
XMR,2017-07-15,32.09
XMR,2017-07-14,35.48
XMR,2017-07-13,38.23
XMR,2017-07-12,40.39
XMR,2017-07-11,37.14
XMR,2017-07-10,40.01
XMR,2017-07-09,44.85
XMR,2017-07-08,46.10
XMR,2017-07-07,44.25
XMR,2017-07-06,50.12
XMR,2017-07-05,45.72
XMR,2017-07-04,45.47
XMR,2017-07-03,43.63
XMR,2017-07-02,42.79
XMR,2017-07-01,40.96
XMR,2017-06-30,43.73
XMR,2017-06-29,45.02
XMR,2017-06-28,47.32
XMR,2017-06-27,43.57
XMR,2017-06-26,43.49
XMR,2017-06-25,45.89
XMR,2017-06-24,48.03
XMR,2017-06-23,51.41
XMR,2017-06-22,47.28
XMR,2017-06-21,46.59
XMR,2017-06-20,48.08
XMR,2017-06-19,49.09
XMR,2017-06-18,49.60
XMR,2017-06-17,50.46
XMR,2017-06-16,48.11
XMR,2017-06-15,46.02
XMR,2017-06-14,46.30
